cycle	bp	scenario	genetic_mode	stage	N	age_0_1	age_2_4	age_5_9	age_10_14	age_15_19	age_20_28	OMU_count	dominant_males	dominant_candidate_males	backup_candidate_males	AMU_dominant_candidate_males	AMU_backup_candidate_males	vacant_OMU_count	invalid_dominant_males	duplicate_dominant_males
112	38	M2	selected	post_mortality	105	29	30	30	10	5	1	6	4	4	11	0	7	2	0	0
113	37	M2	selected	pre_breeding	105	14	35	36	10	8	2	6	6	6	12	0	6	0	0	0
113	37	M2	selected	post_mortality	99	26	27	30	7	7	2	6	4	4	10	0	6	2	0	0
114	36	M2	selected	pre_breeding	99	14	30	35	10	5	5	7	7	6	14	0	7	0	0	0
114	36	M2	selected	post_mortality	100	31	26	25	10	4	4	7	6	6	13	0	7	1	0	0
115	35	M2	selected	pre_breeding	100	19	30	28	15	3	5	7	7	6	15	0	8	0	0	0
115	35	M2	selected	post_mortality	99	32	24	23	13	3	4	7	6	5	13	0	7	1	0	0
116	34	M2	selected	pre_breeding	99	14	34	31	12	4	4	7	7	5	15	0	8	0	0	0
116	34	M2	selected	post_mortality	102	27	29	31	10	3	2	7	6	4	13	0	7	1	0	0
117	33	M2	selected	pre_breeding	102	15	35	30	17	3	2	7	7	7	16	1	9	0	0	0
117	33	M2	selected	post_mortality	99	23	31	28	14	1	2	6	6	6	14	0	7	0	1	0
118	32	M2	selected	pre_breeding	99	9	40	29	16	3	2	7	7	10	18	3	11	0	0	0
118	32	M2	selected	post_mortality	102	21	40	25	11	3	2	7	5	5	9	0	4	2	0	0
119	31	M2	selected	pre_breeding	102	14	33	35	12	6	2	7	7	5	13	0	6	0	0	0
119	31	M2	selected	post_mortality	99	26	29	30	9	5	0	7	6	4	11	0	5	1	0	0
120	30	M2	selected	pre_breeding	99	12	32	37	11	7	0	7	7	3	14	0	7	0	0	0
120	30	M2	selected	post_mortality	106	29	29	33	9	6	0	7	6	3	12	0	6	1	0	0
121	29	M2	selected	pre_breeding	106	17	29	40	14	5	1	7	7	5	18	0	11	0	0	0
121	29	M2	selected	post_mortality	104	26	25	35	14	3	1	7	7	5	16	0	9	0	0	0
122	28	M2	selected	pre_breeding	104	12	35	34	16	6	1	7	7	8	22	2	15	0	0	0
122	28	M2	selected	post_mortality	104	22	33	29	14	5	1	7	7	8	20	2	13	0	0	0
123	27	M2	selected	pre_breeding	104	12	32	36	18	5	1	7	7	8	24	1	17	0	0	0
123	27	M2	selected	post_mortality	102	23	30	30	16	2	1	5	5	7	20	1	14	0	1	0
124	26	M2	selected	pre_breeding	102	12	31	36	17	4	2	5	5	10	22	5	17	0	0	0
124	26	M2	selected	post_mortality	103	25	27	33	14	3	1	5	3	8	19	5	16	2	0	0
125	25	M2	selected	pre_breeding	103	15	28	35	18	6	1	5	5	13	22	8	17	0	0	0
125	25	M2	selected	post_mortality	100	26	23	31	15	4	1	5	4	12	21	8	17	1	0	0
126	24	M2	selected	pre_breeding	100	12	29	35	17	6	1	5	5	15	26	10	21	0	0	0
126	24	M2	selected	post_mortality	103	20	26	33	17	6	1	5	5	15	25	10	20	0	0	0
127	23	M2	selected	pre_breeding	103	10	28	38	17	8	2	5	5	14	31	9	26	0	0	0
127	23	M2	selected	post_mortality	104	22	23	37	15	7	0	5	4	12	26	8	22	1	0	0
128	22	M2	selected	pre_breeding	104	12	28	36	20	8	0	5	5	12	33	7	28	0	0	0
128	22	M2	selected	post_mortality	99	22	22	33	18	4	0	5	5	11	27	6	22	0	0	0
129	21	M2	selected	pre_breeding	99	12	24	34	23	6	0	5	5	15	30	10	25	0	0	0
129	21	M2	selected	post_mortality	104	25	22	30	22	5	0	5	5	15	29	10	24	0	0	0
130	20	M2	selected	pre_breeding	104	16	26	29	23	9	1	5	5	17	31	12	26	0	0	0
130	20	M2	selected	post_mortality	96	25	21	24	20	6	0	5	3	13	24	10	21	2	0	0
131	19	M2	selected	pre_breeding	96	11	29	25	23	8	0	5	5	16	27	11	22	0	0	0
131	19	M2	selected	post_mortality	101	25	26	24	20	6	0	5	4	14	23	10	19	1	0	0
132	18	M2	selected	pre_breeding	101	15	29	24	24	8	1	5	5	15	24	10	19	0	0	0
132	18	M2	selected	post_mortality	99	26	24	23	20	6	0	5	4	12	19	8	15	1	0	0
133	17	M2	selected	pre_breeding	99	13	31	26	21	8	0	5	5	14	21	9	16	0	0	0
133	17	M2	selected	post_mortality	99	27	26	24	16	6	0	5	4	11	16	7	12	1	0	0
134	16	M2	selected	pre_breeding	99	17	27	29	20	6	0	5	5	12	17	7	12	0	0	0
134	16	M2	selected	post_mortality	96	26	26	24	16	4	0	5	4	10	13	6	9	1	0	0
135	15	M2	selected	pre_breeding	96	11	35	28	12	9	1	5	5	10	14	5	9	0	0	0
135	15	M2	selected	post_mortality	92	24	32	21	10	4	1	5	2	6	10	4	8	3	0	0
136	14	M2	selected	pre_breeding	92	14	31	27	14	4	2	5	5	7	13	2	8	0	0	0
136	14	M2	selected	post_mortality	104	27	30	27	14	4	2	5	5	7	13	2	8	0	0	0
137	13	M2	selected	pre_breeding	104	14	35	34	12	5	4	5	5	7	15	2	10	0	0	0
137	13	M2	selected	post_mortality	100	24	31	29	9	4	3	5	4	5	11	1	7	1	0	0
138	12	M2	selected	pre_breeding	100	11	33	37	11	5	3	5	5	5	17	0	12	0	0	0
138	12	M2	selected	post_mortality	96	24	28	31	7	3	3	5	1	1	12	0	11	4	0	0
139	11	M2	selected	pre_breeding	96	17	28	33	11	4	3	5	5	4	17	0	12	0	0	0
139	11	M2	selected	post_mortality	96	28	24	30	9	3	2	5	4	3	14	0	10	1	0	0
140	10	M2	selected	pre_breeding	96	12	31	36	10	5	2	5	5	3	16	0	11	0	0	0
140	10	M2	selected	post_mortality	99	27	28	31	8	3	2	5	4	2	14	0	10	1	0	0
141	9	M2	selected	pre_breeding	99	16	32	31	14	4	2	5	5	7	17	3	12	0	0	0
141	9	M2	selected	post_mortality	101	23	32	27	14	3	2	5	4	7	13	3	9	1	0	0
142	8	M2	selected	pre_breeding	101	8	41	29	18	2	3	5	5	10	17	5	12	0	0	0
142	8	M2	selected	post_mortality	96	15	38	24	15	2	2	5	4	8	14	4	10	1	0	0
143	7	M2	selected	pre_breeding	96	11	29	33	18	3	2	5	5	8	17	3	12	0	0	0
143	7	M2	selected	post_mortality	98	27	26	29	14	2	0	5	4	6	14	2	10	1	0	0
144	6	M2	selected	pre_breeding	98	18	25	34	18	3	0	5	5	9	16	4	11	0	0	0
144	6	M2	selected	post_mortality	100	28	22	30	17	3	0	5	4	8	15	4	11	1	0	0
145	5	M2	selected	pre_breeding	100	10	30	38	16	6	0	5	5	10	19	5	14	0	0	0
145	5	M2	selected	post_mortality	97	27	24	31	11	4	0	5	5	7	15	2	10	0	0	0
146	4	M2	selected	pre_breeding	97	18	30	29	13	7	0	5	5	9	19	4	14	0	0	0
146	4	M2	selected	post_mortality	99	25	28	27	12	7	0	5	5	8	18	3	13	0	0	0
147	3	M2	selected	pre_breeding	99	9	39	28	15	8	0	5	5	7	21	2	16	0	0	0
147	3	M2	selected	post_mortality	104	23	34	26	14	7	0	5	5	6	19	1	14	0	0	0
148	2	M2	selected	pre_breeding	104	16	30	30	19	9	0	5	5	9	20	4	15	0	0	0
148	2	M2	selected	post_mortality	105	31	26	27	17	4	0	5	5	8	17	3	12	0	0	0
149	1	M2	selected	pre_breeding	105	17	33	30	19	5	1	6	6	11	18	5	12	0	0	0
149	1	M2	selected	post_mortality	95	29	26	23	13	3	1	6	2	5	10	3	8	4	0	0
150	0	M2	selected	pre_breeding	95	14	31	27	19	3	1	6	6	8	12	2	6	0	0	0
150	0	M2	selected	post_mortality	107	30	30	25	19	3	0	6	6	8	11	2	5	0	0	0
